Unnamed: 0,PXD030304-Sample-1,PXD030304-Sample-10,PXD030304-Sample-100,PXD030304-Sample-101,PXD030304-Sample-102,PXD030304-Sample-103,PXD030304-Sample-104,PXD030304-Sample-105,PXD030304-Sample-106,PXD030304-Sample-107,PXD030304-Sample-108,PXD030304-Sample-109,PXD030304-Sample-11,PXD030304-Sample-110,PXD030304-Sample-111,PXD030304-Sample-112,PXD030304-Sample-113,PXD030304-Sample-114,PXD030304-Sample-115,PXD030304-Sample-116,PXD030304-Sample-117,PXD030304-Sample-118,PXD030304-Sample-119,PXD030304-Sample-12,PXD030304-Sample-120,PXD030304-Sample-121,PXD030304-Sample-122,PXD030304-Sample-123,PXD030304-Sample-124,PXD030304-Sample-125,PXD030304-Sample-126,PXD030304-Sample-127,PXD030304-Sample-128,PXD030304-Sample-129,PXD030304-Sample-13,PXD030304-Sample-130,PXD030304-Sample-131,PXD030304-Sample-132,PXD030304-Sample-133,PXD030304-Sample-1336,PXD030304-Sample-1337,PXD030304-Sample-1338,PXD030304-Sample-1339,PXD030304-Sample-134,PXD030304-Sample-1340,PXD030304-Sample-1341,PXD030304-Sample-1342,PXD030304-Sample-1343,PXD030304-Sample-1344,PXD030304-Sample-1345,PXD030304-Sample-1346,PXD030304-Sample-1347,PXD030304-Sample-1348,PXD030304-Sample-1349,PXD030304-Sample-135,PXD030304-Sample-1350,PXD030304-Sample-1351,PXD030304-Sample-1352,PXD030304-Sample-1353,PXD030304-Sample-1354,PXD030304-Sample-1355,PXD030304-Sample-1356,PXD030304-Sample-1357,PXD030304-Sample-1358,PXD030304-Sample-1359,PXD030304-Sample-136,PXD030304-Sample-1360,PXD030304-Sample-1361,PXD030304-Sample-1362,PXD030304-Sample-1363,PXD030304-Sample-1364,PXD030304-Sample-1365,PXD030304-Sample-1366,PXD030304-Sample-1367,PXD030304-Sample-1368,PXD030304-Sample-1369,PXD030304-Sample-137,PXD030304-Sample-1370,PXD030304-Sample-1371,PXD030304-Sample-1372,PXD030304-Sample-1373,PXD030304-Sample-1374,PXD030304-Sample-1375,PXD030304-Sample-1376,PXD030304-Sample-1377,PXD030304-Sample-1378,PXD030304-Sample-1379,PXD030304-Sample-138,PXD030304-Sample-1380,PXD030304-Sample-1381,PXD030304-Sample-1382,PXD030304-Sample-1383,PXD030304-Sample-1384,PXD030304-Sample-1385,PXD030304-Sample-1386,PXD030304-Sample-1387,PXD030304-Sample-1388,PXD030304-Sample-1389,PXD030304-Sample-139
Q9Y2K7,5.716465266653862,5.577776370073208,5.521086890590391,4.843959014657077,5.697209991934912,5.134596697996743,5.432483813091005,5.613486780438949,5.320871019190945,5.43794619370575,5.436111963620936,4.941692143034599,5.462330697292711,5.309922569433568,5.557480426970469,5.13313492005905,5.4806537202614445,5.572714595775291,5.596670114043583,5.0605757438228505,5.830710118192472,5.554529050432693,5.378642977814392,5.63737679575359,5.089534314918472,4.856918348008789,5.119746418598302,5.423179829170835,5.363895120566679,5.8464211086219935,5.227565429423288,5.65422551533039,5.762117655642906,5.212414309606107,5.709292756725803,5.459386011168302,5.357025555555199,5.438484760832285,5.206929710279619,5.356119037219302,5.728507668492797,5.29784600022628,5.735464217494649,5.11067051694118,5.713905652454541,5.598664350329575,5.22948413244738,4.939035767863973,5.796859045821503,5.219714444928763,5.95313514571883,5.666071699267918,5.701092204455459,5.2504725557164935,5.629332725784554,5.890947763331937,5.48784770385988,5.619785258105687,,5.256300494794026,5.618755682940971,5.588175041203315,5.822226689117503,5.047409089948273,5.431689886533452,5.621591710851994,5.843359136370578,5.895042949547617,5.470868621333272,5.743781324725495,5.048065632629684,4.803605780136509,5.605788572844241,5.600483577168737,5.981649854620893,5.500670342149047,5.7775547186652325,5.66353165783943,5.854302353543757,5.638728261685845,5.676898120178212,5.861090316716657,5.620815935924723,5.841069745613514,5.076375119747716,5.698136443273183,5.526403723395013,5.2637272570330165,5.684970550539015,4.714511896255463,5.490432318346074,5.065365664203184,5.195364217365524,5.639399434819273,5.434720059383201,5.648017368252904,5.69283990745586,5.6603093396509,5.311218241459325
Q9Y2L1,6.23013300901524,6.040265490002729,6.105023847803439,5.834060614155967,5.901533817564816,5.527952207064773,5.9822685572985375,6.105568081938785,6.058070480708704,5.724204402516301,6.104270296870453,5.61803470777798,5.942883265425287,5.924995773933333,6.001017350438911,6.166575072170518,6.427458229878423,6.103162016291025,6.126944268148474,6.02161563813929,5.877498363050251,6.265765176614714,5.863109504661725,6.042358779716592,5.80263224080907,5.9292253262400765,6.12768778240028,6.033210533394607,6.038284427384815,6.0051405821749935,6.1049317114796455,6.27442362338703,6.151181698796506,6.360074592068129,5.925334578454375,6.012492858420668,5.900438164308709,6.097267037263856,6.065637055631337,6.098810936264544,6.175633216592139,5.88203612301767,5.67726426353164,5.744845428936975,6.185555706624364,6.136292684922164,6.081266558512047,6.05090331617698,5.517130066747016,6.05181837794952,5.9826018028020735,5.960109421263763,5.899328624222522,5.785819827455382,5.89984504501618,6.094898082375906,5.832141758075276,6.210254386518622,5.499699237217417,5.999500777333939,5.815425193863908,5.684246994651715,6.082680052867753,5.993377852956971,5.977237263946988,6.099564805509319,5.860022245277584,5.849703472006039,6.215491120413257,5.841806953711205,6.131772882385331,6.249488396311205,5.9013579457821415,5.082744990902357,5.748229874335446,6.191532410913695,6.121289121854814,6.107884380746533,6.122504217790189,5.981463729294389,5.846239872131216,5.761053922443662,5.715151079951739,6.089452227829282,5.710261828274406,5.863382741140893,5.96186216505274,6.1572662200203006,5.723370428243629,6.00877770634869,6.097022732147151,5.958632609233189,6.065717293927758,5.9222315921505375,6.075966005417568,6.144209091352915,5.847869125755013,6.158586267135827,5.815270453762611
Q9Y2L5,4.938536111681604,4.957709126958769,4.985790052753576,4.747960970983854,5.083351774445559,5.209995143749398,5.129132729294656,5.140442722092731,5.045698637405319,5.216358965601954,4.957307467404168,4.8556417882665714,4.979958530767781,5.091069512136057,4.983199006045434,5.065368530479618,5.011672451019659,4.905488808348929,5.0162904819916365,5.130179269024842,4.74829372474884,5.024487664323564,4.896027599182794,4.987873572537776,4.999470730815611,5.102790079623649,4.987479614239301,4.695901330682889,4.971282408656048,4.926248951073023,5.14174275124812,5.096704261811291,5.098131358061034,4.957863649407623,4.923151687798448,4.96786510641777,5.142679563086209,4.961888882134844,4.675394496228622,4.972786549497814,5.084338026151792,5.0312158050244085,5.129526976867915,5.0304637114908575,5.151946845330687,5.150505576023444,4.973345147345355,5.18710507360665,4.921724848332564,5.10776612853297,4.7530414679118405,5.027102216599604,5.123164810564422,4.70603376194223,5.07527599697727,4.938403339838748,,5.043285007667997,5.12578048615259,5.0159134365630775,5.105886564645369,5.193434330344783,,5.118880758592275,5.023689688580905,5.233184102192886,4.687600406028777,4.764090827315732,4.926586231870149,4.979417260398313,5.190755690348918,4.683229544225534,4.98595318423583,4.885639067953867,5.235826517048979,5.027348207099415,5.124073733578789,4.965117818872947,4.901603714272276,4.99899958584225,5.041925655271712,5.020622893856772,4.754273811749165,5.000858382616413,4.982002671460685,5.180777014241239,4.686401528531159,5.018902201524556,5.05022879451262,5.23867900482067,5.167702202785681,4.98818734713036,5.143419506015614,4.754137281992138,4.950162006068736,5.122237737437903,4.962664605679818,4.9134415342186255,4.927252591856675
Q9Y2L9,5.580871842948378,5.466226253547926,5.476961309911924,,5.049164503584036,,,4.995733312042824,,5.082713194725989,5.4766205308714495,,5.0161286352286165,,5.029937715506011,5.578073685209819,5.500903511460573,,,5.295638177547309,,5.148060920157048,5.234437371901924,5.351926253716171,5.048371187683641,5.5935463442298,5.030164504199094,4.975689507502337,,4.96349041678716,4.9930996526741644,5.2566007253279405,4.9589552158172845,,,,,5.288170725445332,5.447676186263593,4.994731037289196,5.22992262398952,,,5.369811467593114,5.295557846813372,,4.987521113867775,5.200016553443715,4.963675797391993,5.265023613077791,5.3883043677448015,5.352195735304805,,,4.9222320183823145,5.429309434329362,,5.4206668883991735,5.470755356260884,5.318611053086074,5.266573976902993,,,5.002390396836018,5.06267990418124,5.278592045815429,5.666365698947442,5.710215481966984,5.552586465757912,5.323088791290783,4.984929234054012,5.529865212542582,5.490969667862825,,,5.5277474508555855,5.592131814258497,5.304082855332479,,5.525715033867187,,5.071599670815864,,,,5.524613639427199,,5.494897025856385,,,5.041495206784971,5.024470858776764,5.457557560105392,,5.2822031051284295,5.288582684148526,4.978084026495238,5.444243820377609,5.253093034694997
Q9Y2P8,5.98289209657553,5.916746501331743,5.51378782965293,6.210538424028308,6.052204115987921,5.76149518259015,6.189944880904465,6.077354019145856,6.004969502742132,6.081257414708027,6.1273200551385125,5.865203163315058,6.007947117886296,6.135088516576371,5.718496566070139,5.599612819470193,6.092040264699777,6.067596252510397,6.125018311116371,6.173303151971701,6.144667098092919,6.035189427539168,5.9960495580827065,5.734447526952992,5.97413111481145,5.631173872584661,5.858031818171855,6.050036609379193,6.005292082285206,6.211219848010732,5.686637128271053,6.024637174238607,6.045793883789139,5.808157956467968,6.079665584709384,5.705793598475759,5.820843166076035,5.905378281798392,6.100301526119875,6.242295901875577,6.21825554109412,6.077757708137522,6.119707107392807,6.088923914948281,6.14161215412625,6.245084619654273,6.002435146709876,6.124081892459513,6.245396865256465,6.2033737756089415,6.281737483016938,6.129095007777218,6.132113646500756,6.11784686839996,6.204634526976721,6.159550623240821,6.210494737768114,6.047998296143764,6.090548099868885,6.1596924713206125,6.145507640769753,6.139696376852683,6.298358474949509,5.67359182205496,5.596189593619492,6.0491201880864125,6.366436111413732,6.343378696505737,6.169518484613105,6.2670398307787485,5.98008688328962,5.864827437121305,6.191113035641065,6.166722339807363,6.1862938458469205,6.056097395348067,6.125067793488184,6.145416481935001,6.110810279809254,6.186146561111583,6.264475909170541,6.313775928504171,6.221805814725704,5.718929814833895,5.539581828802251,6.043971006624423,6.071366312746664,5.522818066462862,6.3285296365314725,6.106944021986611,6.158101571915027,6.217370776692134,5.809509537514001,6.238134748326784,6.1104809730153775,6.132197963013687,6.11100959923513,6.021680809789436,5.957200550425979
Q9Y2Q3,6.19631464810206,6.486742820992765,5.964370805459229,6.611097796907748,6.20953390789695,6.442182861752256,6.2869296954747,5.37623833610185,6.23262832138673,6.423313135486194,6.414509476920401,6.570100266478096,6.4183497960828815,6.592797590722838,6.407896203979143,6.555703758185562,6.176693688875282,6.397217673279409,6.7991046223475,6.63253148617143,6.507440248028325,6.305099435137227,6.538831868778535,6.200031832389926,6.581931602128598,6.469897292690456,6.497258015742437,6.4874473366791765,6.70738471909864,6.429689954346674,6.14853528759572,6.277375059222096,6.04628578874228,6.123973222743783,6.3358252597055085,6.1488184247138165,5.370322509976136,5.649888487338177,6.600227250239588,6.291176420053116,6.358105152251167,6.526229344655627,6.427382672772998,6.51266416118116,6.146033259280969,6.283949743651992,6.227476950422373,6.547677645736501,6.243683280687337,6.574453205751574,6.73456812209152,6.34285544988135,5.857436369370396,6.736791771023028,6.003325129448536,5.626769660144738,6.831950734452793,6.300060477863903,6.555205828475258,6.26893862117697,6.4701089999011225,6.481299021373967,6.561219487353414,6.400613686766955,6.159405099980983,6.569386436310456,6.430087211993004,6.382055531363117,6.539331204799312,6.4076209991473725,6.316164600927527,6.270668573776695,6.6665903720863815,6.779393370384225,6.664235867082812,6.489885858531245,6.281578795231296,6.623258196368723,6.3120098550091015,6.696333334709482,6.294408333463683,6.658982069956343,6.568130020432463,6.441984326723199,6.449406732329369,6.109401329516324,6.506217261844194,6.086853724804864,6.576726788652868,6.241222909794779,6.09824924527117,6.644063628922812,6.4103951779174775,6.48164734937636,6.131350635775972,6.31856847278531,6.607903059287855,6.111013936165641,6.106313507202048
Q9Y2Q5,6.3478763946348105,6.454844195284463,6.227526211530549,6.557582702669764,6.106379554969113,6.474294616816479,6.456287420375462,6.488267864716857,6.139579988842591,6.551384886200812,6.462548849718495,6.6474702180305085,6.38797455357769,6.420954813503807,6.254516896135394,6.45294567758336,6.391730739298855,6.385030198071984,6.546896663623151,6.537323760287338,6.318695634991597,6.3084186798608215,6.441537624877062,6.121946002288096,6.515125515836743,6.170393002117233,6.285151250110222,6.435677748675808,6.459297766662527,6.438098729119363,6.224458977016678,6.48670819986738,6.50370961818928,6.338306281447043,6.192266383241486,6.467423645945473,6.5585344109115,6.230765965263508,6.341071810008344,6.549727870176607,6.387912069025756,6.638386461504847,6.218103375830895,6.43293711470397,6.235204349186579,6.063866496421843,6.239187122629689,6.413286943713249,6.332950654918648,6.521234979350675,6.318665229655345,6.138076393507393,5.761955808696857,6.265695337790731,6.16569596457413,6.210813931955292,6.374428522996218,6.463791683593737,6.5578254929103394,6.248408854247477,6.419699810784797,6.525529208215556,6.569502063591414,6.249415881722404,6.121565607486113,6.326756627364484,6.583373957855599,6.454428675295786,6.484730647467211,6.260839269708066,6.4417142673483125,6.420440543381079,6.468301942852484,6.483447153860498,6.669505157054948,6.421456079381,6.350778290049013,6.564268667971392,6.466273832935791,6.499024069202956,6.539639863713714,6.518741975710897,6.543585072643433,6.282058415576062,6.486137923924691,6.403284157343217,6.53963844854429,6.256251088981304,6.562390800639789,6.431641376568735,6.1021771306740105,6.500478231729826,6.34829038986615,6.360807514666881,6.251368348018321,6.446903578477871,6.5301636860399,6.361043900694737,6.416295194225032
Q9Y2Q9,6.354555197324871,6.472177869678795,6.414699975676291,6.503745407075037,6.378556482977638,6.423708096533505,6.232633180632735,6.197181869689767,6.619161334546937,6.147861364083624,6.426133316997946,6.413082681223119,6.516146401468932,6.481101933839436,6.285509405861765,6.526644802138646,6.466385814587641,6.41111126005624,6.391815733473394,6.440931970574471,6.631606703440171,6.364409342876149,6.314576101272662,6.551964045410137,6.547330060117555,6.202092384922479,6.57827246774543,6.454247160548212,6.5608971693936,6.499125292607907,6.384028187006011,6.333684109947735,6.4383513902656535,6.22382038481641,6.390267548792846,6.349219290966658,6.456073770661241,6.37913546951151,6.402976044132734,6.437824991256495,6.426046051969193,6.568933127598815,6.254047781066943,6.32007483671324,6.535259096890156,6.491717148504032,6.339268273808891,6.184981771820296,6.472200346441879,6.353466598578349,6.5837989559875405,6.570172722399895,6.440038504523976,6.663677636522934,6.194044953369236,6.454098256099561,6.510959414511204,6.354373207426301,6.409638165382834,6.552660400759903,6.293599634788345,6.2383611677769775,6.527905752055608,6.229981081519549,6.358700312133281,6.346736884187156,6.425694623647903,6.70118416351379,6.423286895067276,6.540808303943875,6.48551121205461,6.452413523303936,6.587949572435214,6.844446450852471,6.6414719417422905,6.425035124155829,6.452669284882467,6.498872947217365,6.494509500581843,6.6378330834091415,6.572332817978325,6.603444326205405,6.644041433343075,6.427633856667205,6.401909594579413,6.421535982070391,6.482493576364735,6.201403722148468,6.539042277393305,6.499208135370925,6.626305898352161,6.594669816178669,6.424823117675946,6.582508548346418,6.376160856533181,6.474925709414294,6.467443485914884,6.407098405556839,6.26920973914856
Q9Y2R0,6.195046806706325,6.526916765672001,6.046684976106645,6.562958846497536,6.403606913867382,6.453227095292053,6.2170846828706985,6.481346518145387,6.556337776587505,6.150319232629007,6.536317209000957,6.527522071500103,6.251146276682288,6.194549479944865,6.369091744633927,6.629368408077241,6.480142085325875,6.484002272857721,6.59436777502237,6.227940668276625,6.627470853196051,6.392772747928208,6.474461905125343,6.571611018737112,6.611994385198077,6.357417328261928,6.393462885704883,6.529527856027656,6.473826720927123,6.438632964286577,6.451505349243323,6.485593555354553,6.256064587696477,6.203219222966728,6.500317168402141,6.360552090855874,6.527709220245207,6.528701203889051,6.444386775630557,6.369650809097954,6.472878503307479,6.618229138862226,6.443957951948962,6.353570462971968,6.460767417335799,6.058896941266362,6.444049618989482,6.449148092986352,6.545925538592911,6.427116566572409,6.452275536351127,6.298001143671023,6.454829994782185,6.592025815186652,6.391451574248446,6.492364023170943,6.382855132434855,6.375963028711892,6.225662965434459,6.481696465377318,6.501329415320571,6.30480920369255,6.586153901244715,6.352169029960148,6.534850343553252,6.425949523393822,6.507012457644426,6.570566980753532,6.414372864300637,6.257372605026559,6.232208882095513,6.393809847074705,6.472884938562292,6.610225485058328,6.585382557058276,6.299178142123428,6.448800537093244,6.387602486737412,6.5210817385183,6.635466910487128,6.439565942416394,6.616138727076187,6.596050298090345,6.475126494564696,6.408420271005717,6.500476546445851,6.2507398429796766,6.2482923378665305,6.570603599488596,6.217440567249042,6.558607959161144,6.585772213012838,6.510891582466592,6.555677920915083,6.4313335325521805,6.434935563478146,6.2284791775105655,6.322469859242342,6.409398736715319
Q9Y2R4,5.833661483291578,5.846646463536305,5.663730759963263,6.218640111354057,5.586415067174857,5.641984141938172,6.019077256589586,5.696615006433404,5.766462610452149,5.462412724504651,5.673303641058875,5.554176866833543,5.565582555940332,5.939709790877021,5.383639296928745,5.757728452193738,5.9529255805197,5.9119667668298055,5.7514230597782365,5.770623355780217,6.107993540295097,5.77665609042997,5.60318138167974,5.721402221091904,5.825571565215827,5.491247198025261,5.82310746158311,6.019866450677611,5.791699925282471,6.205132624846472,5.557867070833694,6.02820481320446,5.833444719538044,5.7568253373281095,5.807556221403214,5.565710437786056,5.376756873233827,5.534071585770211,5.897220422046878,6.0001734778947,6.1030482717605405,6.001553958708614,5.842325740155192,6.073316512029045,5.782457125425838,5.931521079576968,5.536748193438465,5.887870410443563,6.021135167000812,5.958248683301941,6.091055887473372,5.83924339435838,5.929130898812065,6.155904992360272,5.923413707857733,6.194321134729368,5.6931311074027375,5.774605689112097,5.947577349560069,5.709876282743081,5.946799077463512,5.428784077155608,6.003569346599974,5.857826340953247,5.628432258202537,5.9497535738844585,6.362687223582547,6.1942583027919,6.026555578087352,5.817491778889023,5.677529596454229,5.418812250619876,6.135542369881138,5.8135826733075,5.663269739709191,5.906287418388756,5.9040753832174655,5.94131823096681,6.091096836345727,5.981252395473174,6.080919581328399,6.417463601381704,6.152377265051144,5.709887364656243,5.392118331038019,5.5960199578662175,6.158950028064378,5.388836098524076,6.301387922253507,5.90249596203228,5.885631196315651,5.956284318460965,5.528884735771221,5.9805288781848525,5.540881744864136,5.7794118932173735,5.862902344868012,5.740352273104188,5.636189373148702
